x	y	r	P( r )	I	SINR	SINRdB	SC	Throughput
0.57	0.7	0.902718	7.16452e-009	9.89486e-009	0.724062	-1.40224	3.64841	2.6624
0.39	0.46	0.603075	3.1868e-008	5.89936e-009	5.40191	7.32547	12.4359	11.9808
-0.37	0.82	0.899611	7.2565e-009	9.46418e-009	0.76673	-1.15357	3.81216	2.6624
-0.68	-0.28	0.735391	1.52972e-008	7.71799e-009	1.98201	2.97106	7.31847	5.3248
0.27	-0.56	0.621691	2.84776e-008	6.00961e-009	4.73864	6.75654	11.7033	10.6496
0.18	0.64	0.664831	2.22177e-008	6.54753e-009	3.39327	5.30619	9.91388	7.9872
0.53	-0.28	0.599416	3.25937e-008	6.00628e-009	5.42658	7.34526	12.4617	11.9808
-0.87	-0.13	0.879659	7.88437e-009	9.37945e-009	0.840597	-0.754121	4.08652	3.9936
-0.14	-0.59	0.606383	3.12296e-008	5.9932e-009	5.21081	7.16906	12.2329	11.9808
-0.49	0.07	0.494975	6.6187e-008	5.1225e-009	12.9207	11.1129	17.639	15.964
-0.46	-0.08	0.466905	8.21458e-008	4.96652e-009	16.5398	12.1853	19.1869	15.964
0.36	-0.51	0.62426	2.80465e-008	6.03706e-009	4.64569	6.6705	11.5939	10.6496
0.28	-0.5	0.573062	3.84932e-008	5.62131e-009	6.84769	8.35544	13.7998	11.9808
-0.23	0.45	0.505371	6.12874e-008	5.17578e-009	11.8411	10.7339	17.0982	15.964
0.55	-0.41	0.686003	1.97845e-008	6.98513e-009	2.83235	4.52147	8.99893	7.9872
0.89	-0.08	0.893588	7.43912e-009	9.31819e-009	0.79834	-0.97812	3.93095	2.6624
0.7	-0.15	0.715891	1.68965e-008	7.09016e-009	2.38308	3.77138	8.1637	7.9872
0.78	0.27	0.825409	9.97824e-009	9.34406e-009	1.06787	0.285165	4.86637	3.9936
0.26	0.37	0.452217	9.24586e-008	4.8831e-009	18.9343	12.7725	20.044	19.968
0.04	-0.52	0.521536	5.45478e-008	5.34601e-009	10.2034	10.0874	16.1844	15.964
0.19	-0.42	0.460977	8.61224e-008	4.92903e-009	17.4723	12.4235	19.5339	15.964
0.33	-0.21	0.391152	1.58143e-007	4.61187e-009	34.2902	15.3517	23.8698	19.968
0.14	-0.86	0.871321	8.16716e-009	1.07351e-008	0.760786	-1.18738	3.78959	2.6624
0.81	-0.09	0.814985	1.04587e-008	8.18694e-009	1.27748	1.06353	5.5131	5.3248
0.37	-0.02	0.37054	1.93214e-007	4.51715e-009	42.7731	16.3117	25.3127	19.968
-0.44	0.57	0.720069	1.65365e-008	7.0165e-009	2.3568	3.72322	8.11146	7.9872
0.58	-0.22	0.620322	2.87108e-008	6.17238e-009	4.65146	6.6759	11.6008	10.6496
0.33	-0.01	0.330151	2.96136e-007	4.37166e-009	67.7393	18.3084	28.3357	19.968
-0.01	-0.72	0.720069	1.65365e-008	7.56805e-009	2.18504	3.39459	7.75965	5.3248
0.65	-0.16	0.669403	2.16614e-008	6.5885e-009	3.28774	5.16897	9.751	7.9872
0.16	0.82	0.835464	9.54108e-009	9.5715e-009	0.996818	-0.0138408	4.63219	3.9936
0.82	-0.12	0.828734	9.83092e-009	8.50475e-009	1.15593	0.629304	5.14572	3.9936
0.07	0.41	0.415933	1.25993e-007	4.721e-009	26.6875	14.2631	22.2447	19.968
-0.63	-0.35	0.720694	1.64836e-008	7.57803e-009	2.17517	3.37493	7.73887	5.3248
-0.52	0.63	0.816884	1.0369e-008	8.39871e-009	1.23459	0.915215	5.38575	5.3248
-0.57	-0.49	0.751665	1.41072e-008	7.88525e-009	1.78905	2.52623	6.87038	5.3248
0.56	0.54	0.777946	1.24227e-008	8.17325e-009	1.51992	1.8182	6.19068	5.3248
0.18	-0.64	0.664831	2.22177e-008	6.54753e-009	3.39327	5.30619	9.91388	7.9872
-0.09	-0.01	0.0905539	3.54956e-005	3.8929e-009	9117.94	39.599	61.0752	19.968
0.03	0.7	0.700643	1.82975e-008	7.24916e-009	2.52408	4.02103	8.43721	7.9872
0.71	-0.3	0.770779	1.28555e-008	8.38483e-009	1.53318	1.85594	6.22584	5.3248
0.44	-0.33	0.55	4.48114e-008	5.55378e-009	8.06857	9.06797	14.7684	11.9808
-0.78	-0.08	0.784092	1.20663e-008	7.7473e-009	1.55747	1.9242	6.28976	5.3248
0.52	-0.79	0.94578	6.02985e-009	1.00564e-008	0.599602	-2.22137	3.14652	2.6624
-0.02	-0.63	0.630317	2.70621e-008	6.33172e-009	4.27402	6.30837	11.1378	10.6496
0.38	-0.71	0.805295	1.09319e-008	7.92096e-009	1.38012	1.39917	5.80837	5.3248
-0.67	-0.18	0.693758	1.89784e-008	6.90055e-009	2.75026	4.39374	8.85389	7.9872
0.58	0.2	0.613514	2.99074e-008	6.08612e-009	4.914	6.91435	11.9049	10.6496
0.66	-0.53	0.846463	9.09034e-009	1.00637e-008	0.90328	-0.441777	4.31084	3.9936
0.49	0.85	0.981122	5.26448e-009	1.05154e-008	0.500642	-3.00473	2.71876	2.6624
0.7	0.47	0.843149	9.22326e-009	1.03031e-008	0.89519	-0.480849	4.2823	3.9936
-0.02	-0.1	0.10198	2.28675e-005	3.9027e-009	5859.34	37.6785	58.1136	19.968
-0.49	-0.62	0.790253	1.17218e-008	7.93155e-009	1.47787	1.69635	6.07795	5.3248
0.15	-0.71	0.725672	1.60691e-008	7.42456e-009	2.1643	3.35318	7.7159	5.3248
-0.46	-0.36	0.584123	3.58644e-008	5.8355e-009	6.14586	7.88582	13.1723	11.9808
0.17	-0.52	0.547083	4.57017e-008	5.47477e-009	8.34764	9.21564	14.9714	11.9808
0.74	-0.27	0.787718	1.1862e-008	8.59027e-009	1.38086	1.40149	5.81045	5.3248
-0.28	-0.3	0.410366	1.32433e-007	4.68877e-009	28.2446	14.5093	22.6112	19.968
0.27	0.72	0.76896	1.29684e-008	7.68674e-009	1.6871	2.27141	6.62095	5.3248
0.28	0.85	0.89493	7.39793e-009	1.00941e-008	0.732894	-1.34959	3.68264	2.6624
0.85	0.17	0.866833	8.3247e-009	9.44185e-009	0.881677	-0.546904	4.23437	3.9936
-0.07	-0.55	0.554437	4.34989e-008	5.58763e-009	7.7848	8.91247	14.5554	11.9808
-0.47	0.41	0.623699	2.81399e-008	6.18586e-009	4.54905	6.5792	11.4783	10.6496
0.3	0.54	0.617738	2.91578e-008	5.96604e-009	4.88726	6.89065	11.8746	10.6496
-0.08	0.68	0.68469	1.99252e-008	6.967e-009	2.85993	4.56355	9.04695	7.9872
-0.51	-0.02	0.510392	5.90862e-008	5.20546e-009	11.3507	10.5502	16.8374	15.964
0.32	0.63	0.706612	1.77321e-008	6.79494e-009	2.60959	4.16573	8.59781	7.9872
-0.31	0.48	0.571402	3.89086e-008	5.61213e-009	6.93291	8.40915	13.8722	11.9808
-0.39	-0.14	0.414367	1.27763e-007	4.71316e-009	27.1075	14.3309	22.3455	19.968
-0.38	0.6	0.710211	1.74019e-008	6.82625e-009	2.54925	4.06412	8.48488	7.9872
